TransactionAmount,BankName,BIN,Location,DeviceID,Timestamp,IsFraud
247.09,Capital One,420000,Lake Isaac,device_22,2025-05-18 23:28:13,0
3.45,Bank of America,420000,Fernandezfurt,device_38,2025-02-05 14:32:22,0
119.54,Capital One,440000,Port Jesseland,device_68,2025-02-07 04:13:53,0
35.29,Chase,420000,North John,device_63,2025-05-13 14:51:01,0
258.22,Chase,410000,Port Nancy,device_1,2025-01-10 23:24:26,1
354.25,Chase,400000,Brownmouth,device_76,2025-05-22 20:54:11,0
288.72,Bank of America,420000,South Josestad,device_92,2025-05-15 06:31:34,0
64.29,Bank of America,430000,North Jonathanshire,device_82,2025-03-04 17:28:45,0
198.08,Capital One,440000,New Richard,device_7,2025-03-07 18:08:52,0
186.14,Bank of America,400000,Reillyton,device_84,2025-05-13 08:56:24,0
38.43,Bank of America,400000,Sandrafurt,device_54,2025-01-16 06:30:05,0
176.56,Bank of America,440000,Millerland,device_33,2025-02-24 08:00:49,0
3.77,Chase,410000,Port Nicoleburgh,device_89,2025-05-23 17:35:26,0
90.7,Bank of America,420000,South Tonyamouth,device_54,2025-04-23 11:35:19,0
26.14,Capital One,420000,Lake Christinastad,device_80,2025-04-03 15:57:39,0
12.85,Chase,430000,Baileychester,device_14,2025-04-22 08:49:23,0
8.01,Capital One,400000,Robertmouth,device_37,2025-05-23 05:58:22,0
119.17,Bank of America,430000,South Denise,device_26,2025-04-17 18:56:34,0
41.53,Wells Fargo,440000,East Michelleside,device_26,2025-01-26 17:34:48,0
129.01,Citibank,420000,Clarkmouth,device_1,2025-05-05 06:44:45,1
6.76,Citibank,420000,Acevedoshire,device_31,2025-04-21 16:00:40,1
37.88,Bank of America,440000,Patrickside,device_86,2025-04-04 15:01:21,0
77.54,Bank of America,440000,North Shannon,device_10,2025-05-22 15:01:52,0
156.41,Bank of America,420000,West Joanne,device_83,2025-02-13 16:08:13,0
38.38,Wells Fargo,420000,Lake Philip,device_60,2025-04-22 18:16:21,0
98.32,Chase,400000,South Christopherchester,device_38,2025-01-24 10:29:45,0
217.14,Wells Fargo,430000,New Tara,device_95,2025-04-26 13:37:16,0
95.68,Bank of America,400000,Loriland,device_18,2025-04-01 06:02:25,0
26.52,Chase,420000,Berryhaven,device_46,2025-04-15 15:51:02,0
2.47,Capital One,420000,Lake Leemouth,device_94,2025-05-19 22:55:36,0
204.1,Wells Fargo,410000,South Jamie,device_15,2025-04-29 05:24:36,0
2.15,Citibank,420000,Copelandchester,device_50,2025-02-08 12:53:43,0
207.71,Citibank,430000,Michelletown,device_84,2025-04-25 05:43:17,0
75.28,Chase,400000,New Daniel,device_17,2025-01-22 01:27:19,0
279.8,Bank of America,410000,Collinsport,device_14,2025-01-06 05:16:28,0
160.34,Capital One,430000,New Matthewshire,device_73,2025-01-23 03:05:55,0
618.22,Chase,440000,South Vincent,device_49,2025-04-04 18:54:42,0
43.19,Capital One,400000,Romanshire,device_88,2025-03-23 11:37:19,0
145.75,Chase,430000,South Alejandraberg,device_63,2025-04-04 13:31:01,0
51.4,Citibank,430000,Lisafurt,device_6,2025-01-16 12:05:05,0
65.37,Wells Fargo,400000,Stevetown,device_91,2025-01-26 21:50:08,0
98.75,Capital One,440000,Vanessaville,device_93,2025-04-19 23:27:23,0
206.89,Wells Fargo,440000,East Matthew,device_67,2025-05-11 07:00:44,0
414.04,Capital One,400000,Philipbury,device_56,2025-02-11 02:41:01,0
146.22,Chase,430000,Richardmouth,device_45,2025-01-31 07:10:53,0
54.09,Citibank,410000,Joshuaport,device_72,2025-03-23 15:10:49,0
54.71,Capital One,400000,East Heather,device_2,2025-03-14 18:41:41,0
133.78,Chase,440000,Sextonchester,device_61,2025-02-26 16:15:52,0
27.28,Chase,400000,East Timothy,device_97,2025-05-18 13:08:04,0
11.71,Chase,420000,Markside,device_36,2025-02-18 09:18:30,0
43.79,Chase,440000,Josephfort,device_83,2025-01-08 09:06:33,0
33.86,Chase,400000,Johnburgh,device_59,2025-01-06 22:45:20,0
35.14,Capital One,430000,North James,device_12,2025-01-09 16:05:41,0
26.61,Citibank,420000,Tyronehaven,device_16,2025-02-05 06:51:20,0
4.3,Bank of America,400000,Janeshire,device_52,2025-03-09 15:29:02,0
1.8,Capital One,440000,South David,device_1,2025-04-24 21:48:05,0
440.0,Capital One,440000,East Jennaside,device_82,2025-04-03 01:22:32,0
55.82,Capital One,440000,Alexandriaberg,device_27,2025-04-13 01:21:44,0
48.5,Citibank,420000,Whiteberg,device_47,2025-01-02 15:08:42,0
113.83,Chase,430000,North Amy,device_43,2025-02-17 05:27:30,0
24.62,Capital One,440000,Hansenhaven,device_61,2025-02-23 08:09:29,0
299.5,Wells Fargo,430000,Lucashaven,device_15,2025-05-04 12:14:52,0
154.34,Chase,400000,Williamsmouth,device_44,2025-05-13 22:04:23,0
9.37,Wells Fargo,440000,Port Catherine,device_67,2025-04-16 00:55:04,0
54.06,Bank of America,400000,South Jamesshire,device_22,2025-03-06 12:01:47,0
211.29,Citibank,400000,West Kimberlyberg,device_33,2025-05-14 15:04:19,0
289.56,Chase,400000,Heatherborough,device_51,2025-02-23 17:25:03,0
63.0,Chase,420000,Lake Morgan,device_14,2025-05-14 13:36:22,0
95.04,Bank of America,440000,South Christopher,device_16,2025-02-10 03:30:40,0
18.28,Citibank,430000,Crystalfort,device_85,2025-03-23 13:55:35,0
472.94,Capital One,410000,Jamesville,device_64,2025-01-17 08:43:26,1
26.35,Capital One,430000,Waltonburgh,device_75,2025-04-11 16:09:48,0
286.0,Capital One,410000,New Cassandra,device_89,2025-04-20 03:58:36,0
104.88,Chase,400000,Racheltown,device_50,2025-03-24 17:58:20,0
93.58,Capital One,420000,Davidview,device_65,2025-04-21 05:14:24,0
71.89,Citibank,440000,Powellport,device_89,2025-01-29 12:39:29,0
26.22,Wells Fargo,430000,Lake Wayne,device_44,2025-05-04 17:27:58,0
19.42,Citibank,410000,Lake Heather,device_18,2025-01-10 03:33:57,0
24.91,Capital One,420000,Aaronburgh,device_90,2025-05-16 08:26:52,0
20.63,Wells Fargo,440000,Alexside,device_81,2025-04-03 13:09:14,0
151.22,Chase,440000,Natashaton,device_92,2025-02-05 17:27:26,0
43.1,Wells Fargo,410000,West Alanchester,device_91,2025-03-31 22:13:17,0
5.96,Chase,440000,Kennethton,device_70,2025-04-25 11:44:25,0
347.71,Wells Fargo,400000,Georgemouth,device_98,2025-03-18 00:51:30,0
215.23,Citibank,440000,Grahamview,device_74,2025-01-16 05:46:11,0
262.77,Citibank,440000,West Daletown,device_37,2025-03-12 08:25:43,0
528.0,Citibank,400000,West Jeffrey,device_67,2025-01-12 07:30:52,0
19.1,Citibank,410000,Lawsonhaven,device_7,2025-03-18 10:19:35,0
50.46,Chase,420000,North Richardfort,device_97,2025-03-25 14:12:26,0
141.98,Wells Fargo,420000,Christopherside,device_19,2025-04-10 18:18:41,0
119.08,Wells Fargo,410000,Velazquezland,device_97,2025-03-26 14:12:53,0
16.71,Wells Fargo,430000,Rosalesland,device_14,2025-02-24 10:59:14,0
169.19,Capital One,410000,Shelbyton,device_96,2025-04-03 06:01:22,0
25.42,Citibank,410000,Lake Stephanie,device_66,2025-03-24 09:00:11,0
25.34,Wells Fargo,400000,Shermanstad,device_49,2025-05-03 06:39:12,0
77.0,Wells Fargo,440000,Mosesfort,device_3,2025-03-16 00:43:02,1
89.88,Citibank,410000,North Alexis,device_82,2025-01-14 23:26:24,0
86.77,Wells Fargo,440000,New Tammy,device_70,2025-02-18 13:01:21,0
9.59,Chase,410000,Gilbertfort,device_38,2025-04-06 06:48:43,0
209.93,Bank of America,410000,New Garrett,device_23,2025-04-10 15:17:02,0
30.87,Bank of America,430000,North Emilyfurt,device_6,2025-03-17 08:18:30,0
13.87,Capital One,420000,Sweeneyview,device_17,2025-03-18 11:54:20,0
219.6,Wells Fargo,400000,Port Miranda,device_43,2025-04-07 13:15:38,0
311.57,Chase,400000,North Edward,device_20,2025-03-13 20:40:10,0
198.14,Capital One,400000,South Paul,device_100,2025-01-24 05:51:17,0
165.82,Capital One,420000,Lake Timothy,device_63,2025-02-09 06:57:08,0
106.49,Capital One,420000,Crystalville,device_10,2025-03-16 07:11:38,0
80.04,Wells Fargo,440000,Williamshaven,device_29,2025-05-08 15:45:58,0
9.1,Capital One,400000,South Tinafort,device_65,2025-05-11 04:06:40,0
52.5,Capital One,440000,Perezborough,device_52,2025-02-09 18:03:49,0
46.63,Chase,410000,West Robert,device_85,2025-05-02 02:32:29,0
30.08,Wells Fargo,420000,Jackside,device_28,2025-05-17 08:13:12,0
128.53,Capital One,440000,Lake Johnside,device_61,2025-01-15 16:19:14,0
68.49,Bank of America,400000,Danaburgh,device_86,2025-04-01 18:51:46,0
8.45,Chase,440000,North Oscarshire,device_80,2025-02-14 20:03:26,0
24.87,Bank of America,420000,West Sarahshire,device_49,2025-05-13 22:37:53,0
114.97,Bank of America,430000,New Joshuaville,device_33,2025-03-15 14:24:30,0
7.92,Wells Fargo,400000,East Amyfort,device_67,2025-05-09 05:10:34,0
190.52,Wells Fargo,440000,Pennyborough,device_66,2025-05-10 11:36:14,0
68.35,Bank of America,420000,Woodsshire,device_84,2025-04-03 09:41:19,0
65.51,Capital One,400000,North Deborah,device_13,2025-04-09 02:59:34,0
89.75,Capital One,440000,New Anthony,device_1,2025-03-01 09:40:43,0
174.11,Chase,410000,Patriciachester,device_88,2025-03-01 20:13:20,0
42.74,Bank of America,410000,Lake Jasminehaven,device_69,2025-02-13 13:24:17,0
113.33,Citibank,400000,Taylorton,device_96,2025-04-03 23:40:13,0
83.41,Bank of America,430000,South John,device_92,2025-03-07 16:12:27,0
31.06,Bank of America,400000,Erichaven,device_7,2025-03-16 11:33:44,0
210.89,Wells Fargo,440000,Blackwellmouth,device_10,2025-03-03 11:37:47,0
159.67,Chase,420000,Port Mark,device_53,2025-04-01 06:41:41,0
107.43,Citibank,430000,Katiechester,device_41,2025-01-12 05:52:35,1
190.1,Capital One,400000,North Timothymouth,device_83,2025-04-01 18:49:08,0
201.96,Bank of America,440000,East Kelly,device_6,2025-04-18 10:37:25,0
123.22,Bank of America,420000,West Elizabethburgh,device_65,2025-03-06 20:37:21,0
181.41,Wells Fargo,440000,East Sarah,device_12,2025-05-03 20:48:18,0
119.56,Citibank,430000,New Samanthaside,device_51,2025-05-15 20:32:42,0
113.99,Bank of America,430000,North Donna,device_21,2025-05-09 04:27:21,0
96.39,Chase,430000,New Jamesberg,device_70,2025-05-23 02:31:52,0
139.72,Chase,420000,Powellmouth,device_87,2025-01-06 09:57:04,0
17.27,Wells Fargo,400000,Brianborough,device_71,2025-03-11 12:15:32,0
212.75,Chase,400000,East Robert,device_6,2025-04-23 20:44:42,1
205.45,Capital One,440000,Reneeland,device_11,2025-01-22 20:42:44,0
2.97,Wells Fargo,410000,Danaborough,device_53,2025-01-09 13:42:34,0
174.76,Capital One,410000,Port Allison,device_21,2025-02-01 08:58:21,0
13.8,Capital One,420000,Port Jacqueline,device_25,2025-04-29 16:37:14,0
40.81,Capital One,400000,Port Julia,device_97,2025-04-20 13:16:33,0
136.07,Capital One,430000,Deanville,device_83,2025-05-10 10:05:08,0
17.53,Wells Fargo,400000,Port Mark,device_33,2025-01-14 10:03:34,0
170.36,Capital One,430000,Lake Bailey,device_43,2025-03-14 18:46:47,0
178.46,Chase,400000,Burnsshire,device_37,2025-04-23 09:59:16,0
70.82,Chase,420000,Serranobury,device_63,2025-03-25 18:55:01,0
0.64,Capital One,420000,Montgomerybury,device_89,2025-03-29 18:26:58,0
33.83,Capital One,440000,North Nancy,device_47,2025-02-26 16:48:30,0
95.95,Citibank,410000,Lake Melinda,device_1,2025-03-25 12:54:25,0
397.32,Chase,430000,Port Brandon,device_36,2025-01-24 05:53:53,0
99.92,Chase,420000,Christensenland,device_62,2025-03-12 17:03:27,0
30.08,Wells Fargo,420000,Scotthaven,device_63,2025-04-11 03:54:29,0
100.51,Chase,440000,Jacobstad,device_11,2025-01-07 17:14:04,0
77.65,Chase,440000,North Tara,device_26,2025-05-12 08:05:51,0
151.34,Bank of America,400000,Kleinchester,device_3,2025-04-13 14:44:36,0
11.31,Bank of America,440000,New Ashleyshire,device_75,2025-05-15 22:26:01,0
143.14,Capital One,410000,South Annette,device_5,2025-03-22 02:00:14,0
77.93,Capital One,440000,Marshallberg,device_61,2025-01-22 22:04:40,0
329.66,Chase,420000,Palmerburgh,device_51,2025-03-28 01:15:14,0
41.84,Capital One,420000,West Cindy,device_18,2025-04-01 05:29:46,0
100.14,Capital One,400000,Jamieberg,device_51,2025-03-10 15:16:43,0
268.87,Bank of America,410000,Lake Catherine,device_79,2025-04-30 18:34:01,0
10.82,Capital One,410000,Lake Victoria,device_58,2025-04-03 15:31:46,0
276.83,Capital One,440000,Rayport,device_85,2025-03-02 00:33:55,0
116.44,Chase,430000,Kimberlyton,device_46,2025-01-30 22:31:07,1
7.02,Chase,400000,Christopherport,device_34,2025-01-08 00:35:56,0
35.81,Bank of America,410000,West Mollyfurt,device_67,2025-04-12 05:13:39,0
123.16,Wells Fargo,430000,South Danny,device_61,2025-04-01 12:16:06,0
6.97,Bank of America,400000,Knapptown,device_84,2025-04-29 01:28:01,0
87.27,Capital One,420000,South Elijahchester,device_95,2025-01-21 15:04:05,0
42.45,Capital One,440000,Aguilartown,device_23,2025-03-15 17:45:50,0
97.0,Citibank,420000,Littlestad,device_76,2025-01-17 06:55:13,0
4.68,Bank of America,440000,Port Michael,device_33,2025-03-31 17:57:18,0
205.21,Chase,440000,Port Isaiahview,device_52,2025-03-29 12:38:51,0
363.02,Wells Fargo,430000,Lake Larry,device_62,2025-01-09 18:37:12,0
346.98,Bank of America,440000,Traceychester,device_18,2025-04-12 18:48:44,0
138.49,Chase,400000,West Sabrinaburgh,device_66,2025-05-17 08:29:09,0
13.94,Chase,410000,Wufort,device_24,2025-03-07 00:52:40,0
141.99,Capital One,400000,West Neil,device_85,2025-01-20 11:19:43,0
2.49,Wells Fargo,400000,Angelaland,device_62,2025-04-14 04:14:38,0
2.24,Citibank,410000,Hendricksfort,device_76,2025-03-14 10:49:19,0
39.1,Citibank,400000,Padillashire,device_32,2025-05-23 12:02:09,1
67.07,Chase,410000,West Brittany,device_81,2025-02-26 14:38:57,0
147.14,Capital One,410000,Traceychester,device_8,2025-01-06 04:24:51,0
114.98,Chase,440000,South Crystal,device_52,2025-02-25 16:40:10,0
59.04,Capital One,400000,Wilsonberg,device_93,2025-04-16 11:32:34,0
31.97,Wells Fargo,400000,Donnaville,device_28,2025-02-02 15:06:58,0
585.15,Citibank,430000,Jasonside,device_22,2025-01-07 15:40:13,0
55.54,Citibank,440000,New Kenneth,device_19,2025-01-14 21:37:37,0
60.04,Chase,440000,East David,device_85,2025-01-16 06:12:09,0
17.87,Chase,420000,Port Christopher,device_59,2025-03-30 07:37:12,0
158.38,Bank of America,410000,New Sherri,device_49,2025-01-19 18:48:10,0
118.31,Bank of America,400000,Maryfort,device_26,2025-04-10 14:39:36,0
24.94,Capital One,430000,New Timothy,device_20,2025-01-25 08:49:59,0
8.6,Chase,430000,Ethantown,device_79,2025-04-15 00:22:45,0
114.1,Capital One,440000,Alexanderport,device_97,2025-04-05 17:53:41,0
106.28,Citibank,410000,Sawyerville,device_78,2025-05-03 03:07:30,0
31.92,Bank of America,430000,East Dariusberg,device_67,2025-04-13 05:48:18,0
301.32,Bank of America,440000,Kevinview,device_55,2025-01-08 18:19:29,0
16.38,Citibank,430000,Danabury,device_45,2025-01-17 15:10:20,0
56.62,Capital One,400000,Davidtown,device_55,2025-04-11 18:05:46,0
287.56,Citibank,410000,West Jamesbury,device_11,2025-05-02 06:16:22,0
54.43,Capital One,430000,Lauraton,device_33,2025-01-13 00:49:18,0
101.76,Bank of America,440000,West Timothyton,device_67,2025-03-14 18:02:05,0
50.68,Bank of America,430000,Destinytown,device_84,2025-03-27 22:51:17,0
32.05,Wells Fargo,430000,Jamesmouth,device_47,2025-03-02 22:07:13,0
413.38,Citibank,440000,East Richard,device_33,2025-01-24 02:23:55,0
52.65,Capital One,430000,Lake Andrewstad,device_73,2025-02-01 14:21:57,0
224.53,Wells Fargo,430000,Barkerville,device_97,2025-02-04 16:43:19,0
26.13,Capital One,440000,Markshire,device_62,2025-01-26 01:53:50,0
23.97,Capital One,440000,Owentown,device_62,2025-01-16 11:07:25,0
3.16,Wells Fargo,440000,Rhondaside,device_45,2025-03-24 09:23:31,0
105.46,Citibank,410000,Timothyfort,device_85,2025-05-03 19:14:38,0
45.97,Chase,430000,Diazton,device_90,2025-01-08 06:34:45,0
199.77,Bank of America,410000,Port Hector,device_66,2025-03-24 07:37:07,0
64.1,Wells Fargo,440000,West Davidberg,device_79,2025-05-10 17:41:49,0
344.81,Bank of America,410000,New Amy,device_50,2025-03-02 01:58:38,0
20.52,Bank of America,400000,Craigmouth,device_19,2025-02-02 08:34:44,0
202.97,Capital One,430000,West Christopher,device_12,2025-03-12 15:35:56,0
149.88,Chase,420000,Jamesfort,device_11,2025-04-04 14:03:57,0
147.37,Citibank,430000,New Kennethmouth,device_79,2025-03-18 19:58:43,0
186.29,Wells Fargo,440000,Rosalesfurt,device_8,2025-04-13 08:27:28,0
143.14,Chase,430000,South Adam,device_57,2025-01-28 04:18:30,1
98.41,Capital One,420000,Murrayside,device_25,2025-05-02 02:42:26,1
14.07,Capital One,410000,West Michelleside,device_79,2025-02-21 21:34:28,0
3.31,Bank of America,420000,Alanport,device_31,2025-05-03 09:31:38,0
253.64,Chase,400000,Larrymouth,device_36,2025-02-14 03:20:02,0
95.88,Wells Fargo,430000,Martinmouth,device_52,2025-03-12 03:17:14,0
159.23,Capital One,400000,Burgesshaven,device_95,2025-04-02 02:50:56,0
65.69,Bank of America,440000,South Larryhaven,device_37,2025-04-19 05:53:00,0
12.48,Capital One,440000,Hooverville,device_45,2025-01-23 11:41:32,0
13.37,Wells Fargo,410000,Port Douglasmouth,device_78,2025-03-17 04:10:19,0
115.7,Citibank,430000,New Kristina,device_3,2025-04-15 01:33:25,1
56.27,Bank of America,440000,Calvinshire,device_10,2025-05-20 10:55:13,0
22.38,Wells Fargo,400000,Port Ashley,device_66,2025-02-13 02:46:52,0
67.65,Capital One,440000,Lyonschester,device_33,2025-03-08 05:45:03,0
6.64,Citibank,440000,West Zacharyfurt,device_62,2025-05-13 05:21:03,0
87.22,Wells Fargo,430000,Gardnerchester,device_88,2025-04-17 06:20:46,0
31.33,Capital One,400000,Port Meganchester,device_62,2025-01-19 04:26:23,0
159.73,Bank of America,430000,South Jamesville,device_82,2025-03-08 22:15:38,0
37.16,Chase,410000,Pattonburgh,device_41,2025-04-23 11:39:41,0
60.74,Wells Fargo,440000,Bakerborough,device_69,2025-05-23 01:29:29,1
1.17,Chase,420000,Lake Evan,device_12,2025-01-01 02:24:38,0
7.52,Wells Fargo,400000,Alyssamouth,device_71,2025-01-26 11:40:34,0
49.84,Citibank,420000,South Jonathanfort,device_46,2025-04-04 04:16:06,0
65.38,Capital One,420000,South Kiara,device_24,2025-01-25 05:13:00,0
91.63,Chase,430000,Toddchester,device_95,2025-04-19 05:07:26,0
34.48,Chase,420000,Bridgesbury,device_27,2025-05-16 17:16:29,0
118.74,Chase,440000,Fergusontown,device_46,2025-01-16 08:09:49,0
196.7,Bank of America,400000,Morenoview,device_11,2025-04-01 08:14:32,0
151.35,Citibank,440000,Melissaberg,device_1,2025-02-06 12:40:46,0
4.04,Capital One,400000,Katieport,device_62,2025-02-05 15:57:47,0
65.49,Wells Fargo,430000,Port Lisa,device_74,2025-05-16 06:52:08,0
11.09,Citibank,410000,Lake Crystal,device_98,2025-01-23 15:43:21,0
27.71,Wells Fargo,430000,New Richard,device_29,2025-05-02 10:45:18,0
431.72,Chase,400000,Port Lori,device_68,2025-03-20 11:03:46,0
15.37,Citibank,440000,Lake Williechester,device_5,2025-02-08 09:38:48,0
69.09,Citibank,410000,West Victorside,device_59,2025-05-18 20:30:52,0
96.27,Capital One,430000,Gibsonview,device_41,2025-01-14 23:02:50,0
121.22,Bank of America,410000,East Kimberlyland,device_49,2025-02-22 13:32:08,0
82.02,Wells Fargo,420000,Clinemouth,device_79,2025-03-10 10:44:44,0
0.98,Chase,440000,Bakerview,device_34,2025-02-10 22:31:47,0
39.52,Citibank,440000,Lake Justinfurt,device_44,2025-01-07 12:03:48,0
72.92,Citibank,430000,Janiceshire,device_27,2025-05-12 09:57:41,0
9.2,Wells Fargo,420000,Port Christopher,device_52,2025-05-02 22:02:26,0
43.17,Chase,440000,Chanview,device_17,2025-04-04 21:02:52,0
3.38,Chase,400000,South Zacharychester,device_93,2025-03-16 16:44:48,0
8.18,Chase,440000,South Karenborough,device_56,2025-05-06 11:04:45,0
50.57,Chase,410000,North Trevorport,device_95,2025-05-06 00:40:10,0
14.24,Bank of America,410000,Danielsport,device_54,2025-05-06 01:25:39,0
83.83,Capital One,440000,Marissaside,device_93,2025-03-12 05:50:27,0
116.95,Citibank,420000,East Christineburgh,device_33,2025-01-02 17:27:00,0
161.24,Capital One,400000,West Robertchester,device_51,2025-04-04 18:06:30,0
22.33,Chase,400000,Lake Lisa,device_28,2025-01-06 09:47:12,0
18.33,Citibank,400000,Greentown,device_58,2025-04-29 08:39:13,0
11.04,Wells Fargo,420000,Port Isaacmouth,device_47,2025-01-21 04:57:40,0
101.18,Wells Fargo,420000,Christinehaven,device_3,2025-05-21 00:16:42,0
122.58,Wells Fargo,440000,Popebury,device_26,2025-02-07 16:32:28,0
3.21,Capital One,410000,Leeshire,device_100,2025-03-25 01:34:45,0
275.22,Wells Fargo,440000,North Christinefort,device_63,2025-01-09 03:18:08,0
5.34,Citibank,400000,Port Veronicaside,device_49,2025-03-03 03:34:42,0
77.94,Citibank,410000,Stonechester,device_22,2025-04-14 13:17:51,0
123.46,Wells Fargo,430000,West Paulaside,device_81,2025-04-12 06:08:12,0
204.77,Citibank,400000,New Antonioville,device_11,2025-03-18 00:58:54,0
125.21,Chase,420000,Jonesberg,device_41,2025-03-20 22:36:16,0
161.81,Wells Fargo,440000,Carolborough,device_83,2025-05-03 05:34:50,0
41.47,Citibank,420000,Aliciafort,device_96,2025-03-10 06:45:49,0
168.65,Citibank,430000,Durhamburgh,device_22,2025-03-13 16:20:46,0
8.35,Bank of America,410000,North Paul,device_94,2025-02-19 00:11:47,0
225.21,Wells Fargo,400000,New Susan,device_27,2025-02-21 18:12:06,0
79.32,Bank of America,400000,West Ryan,device_9,2025-02-01 16:15:40,0
169.99,Citibank,440000,Carsonburgh,device_1,2025-02-28 05:24:40,1
60.21,Bank of America,420000,South Cherylmouth,device_80,2025-03-19 00:04:08,0
103.16,Citibank,420000,New Samanthaborough,device_30,2025-04-13 10:06:03,0
74.74,Wells Fargo,430000,South Dianeshire,device_81,2025-05-06 10:54:35,0
131.52,Capital One,410000,Lake Valerieland,device_2,2025-03-10 16:06:20,1
8.52,Citibank,430000,Mooretown,device_70,2025-02-10 16:34:06,0
6.23,Capital One,430000,Hughesport,device_18,2025-05-03 14:47:58,0
28.38,Capital One,410000,Cindyfurt,device_76,2025-02-08 20:33:18,0
17.38,Capital One,430000,South Megan,device_68,2025-03-21 22:53:41,0
205.4,Capital One,420000,West Ryanport,device_45,2025-03-29 08:36:10,0
24.75,Chase,400000,West Terrimouth,device_57,2025-02-04 12:13:38,0
372.41,Citibank,420000,Benitezshire,device_20,2025-05-11 17:51:49,0
41.08,Bank of America,440000,New Roy,device_98,2025-03-21 05:44:01,0
20.1,Wells Fargo,420000,Sherribury,device_61,2025-02-16 16:49:48,0
155.92,Citibank,430000,West Nicholas,device_2,2025-02-12 19:18:57,1
107.5,Capital One,410000,Robertborough,device_1,2025-02-23 21:37:40,0
68.95,Chase,430000,Martinchester,device_72,2025-02-09 17:05:00,0
81.05,Chase,410000,Ethanmouth,device_92,2025-01-14 04:08:27,0
127.01,Citibank,430000,East Andrew,device_29,2025-01-09 20:39:24,0
25.94,Citibank,410000,Maryfurt,device_67,2025-04-21 09:35:32,0
560.86,Capital One,420000,Parkerville,device_37,2025-02-25 01:24:09,0
368.06,Capital One,420000,Maryhaven,device_53,2025-01-05 22:30:14,0
105.08,Bank of America,410000,Harrisontown,device_18,2025-02-21 11:07:34,0
22.26,Citibank,440000,Port Emilyport,device_58,2025-04-05 22:31:54,0
114.01,Capital One,430000,New Kevinchester,device_25,2025-04-07 06:10:29,0
7.49,Chase,400000,Lake Michelle,device_69,2025-01-29 12:47:26,1
3.11,Wells Fargo,420000,West Luis,device_17,2025-01-25 20:54:38,0
29.8,Bank of America,410000,New Steven,device_12,2025-03-18 11:14:12,0
62.11,Citibank,410000,Briannaville,device_44,2025-04-10 18:38:58,0
202.7,Citibank,420000,North Christopherside,device_60,2025-01-25 09:10:02,0
129.89,Bank of America,420000,Lake Linda,device_11,2025-03-12 22:07:07,0
135.75,Chase,400000,Kevinfurt,device_35,2025-05-20 04:36:15,0
55.42,Bank of America,440000,Jeremiahton,device_61,2025-02-28 14:44:14,0
42.45,Wells Fargo,430000,Lake Dennismouth,device_2,2025-04-03 02:29:58,0
46.37,Chase,430000,Nguyenmouth,device_99,2025-02-17 08:12:39,0
439.41,Chase,400000,Joseburgh,device_26,2025-02-27 11:59:02,0
4.09,Bank of America,440000,Port Timothy,device_86,2025-01-26 23:46:10,0
201.76,Citibank,430000,North Erica,device_88,2025-05-12 08:10:04,0
86.44,Wells Fargo,410000,Marcusville,device_81,2025-01-07 10:42:10,0
57.73,Capital One,440000,West Kristinehaven,device_16,2025-02-25 13:14:30,0
129.19,Wells Fargo,410000,Christopherville,device_47,2025-02-14 09:04:28,0
66.68,Chase,400000,Lake Matthew,device_31,2025-02-24 11:19:17,0
206.69,Wells Fargo,400000,Port Jimmybury,device_22,2025-04-11 14:38:34,0
230.96,Capital One,400000,Steveton,device_51,2025-02-11 12:28:16,0
54.77,Bank of America,400000,Lake Brittanyshire,device_75,2025-01-07 16:55:10,0
32.41,Citibank,440000,Jamesside,device_20,2025-02-09 03:42:39,0
89.73,Bank of America,410000,Lake Chadmouth,device_21,2025-02-11 18:51:28,0
243.46,Capital One,420000,West Jacob,device_98,2025-01-08 17:47:36,0
23.66,Bank of America,420000,Port Chad,device_83,2025-04-05 08:30:21,0
97.54,Capital One,400000,Ortizfurt,device_17,2025-02-03 02:07:47,0
99.85,Wells Fargo,440000,South Jacobshire,device_83,2025-01-28 20:14:28,0
132.09,Citibank,410000,Rachelborough,device_3,2025-04-24 02:49:59,0
14.11,Wells Fargo,410000,Devonport,device_33,2025-04-08 05:30:44,0
125.82,Citibank,430000,North Ernest,device_72,2025-03-05 17:18:18,0
239.73,Citibank,410000,Kennethtown,device_73,2025-02-08 05:49:41,0
19.81,Wells Fargo,420000,Kevinmouth,device_94,2025-05-21 20:46:33,0
27.12,Capital One,440000,East Amandatown,device_21,2025-05-13 13:03:21,0
355.42,Chase,430000,Jacobmouth,device_38,2025-02-04 22:35:24,0
19.96,Capital One,420000,Lake Wanda,device_59,2025-02-23 11:13:39,1
192.68,Citibank,410000,Jessicaport,device_3,2025-02-08 15:38:20,0
67.78,Wells Fargo,440000,East Jessica,device_31,2025-05-01 04:24:22,0
28.4,Bank of America,440000,East Vanessafort,device_50,2025-04-29 21:59:00,0
204.6,Citibank,440000,Jacksonton,device_20,2025-02-13 13:00:17,0
58.93,Wells Fargo,430000,East Brianmouth,device_83,2025-02-19 02:27:23,0
72.32,Bank of America,440000,East Christopher,device_85,2025-02-12 21:37:25,0
44.51,Chase,410000,Lake Samuel,device_5,2025-05-14 23:15:23,0
89.88,Citibank,410000,New Beth,device_13,2025-01-14 02:19:42,1
17.86,Citibank,430000,North Devonmouth,device_68,2025-01-22 03:38:25,0
